Maximum Depth_50%;NumberOfMathOperations_min;issues_priorityMinor_max;issues_priorityMinor_count;Ait;HMd;issues_priorityMinor_std;MaxNumberOfNestedBlocks_mean;NumberOfModifiers_75%;Maximum Complexity*;blame_merge_priorityMinor_count;NumberOfMathOperations_max;blame_merge_priorityMajor_std;Maximum Depth_count;Average Block Depth;NumberOfMathOperations_75%;Ma;MaxNumberOfNestedBlocks_75%;MaxNumberOfNestedBlocks_min;issues_priorityMinor_min;blame_merge_priorityMinor_std;NumberOfMathOperations_mean;Maximum Depth_75%;blamemerge_priorityMajor_mean;Ao;blame_merge_priorityMinor_mean;blamemerge_priorityMajor_count;NumberOfModifiers_25%;blamemerge_priorityMinor_std;Average Complexity*;blame_merge_priorityMajor_count;Mo;Maximum Block Depth;Maximum Depth_min;Maximum Depth_25%;Maximum Depth_std;blame_merge_priorityMajor_min;NMA;Maximum Depth_mean;issues_priorityMajor_std;blamemerge_priorityMajor_max;blame_merge_priorityMajor_mean;blamemerge_priorityMajor_std;Bugged;Average Statements per Method;Ai;MaxNumberOfNestedBlocks_50%;blamemerge_priorityMinor_mean;NumberOfMathOperations_50%;SIX;HMi;NumberOfModifiers_count;NF;PMR;NumberOfModifiers_min;MaxNumberOfNestedBlocks_25%;NumberOfModifiers_max;Mi;PMi;blame_merge_priorityMajor_max;NumberOfModifiers_mean;NMI;NMIR;blamemerge_priorityMinor_count;issues_priorityMajor_count;Maximum Depth_max;Ad;issues_priorityMinor_mean;NumberOfModifiers_std;MaxNumberOfNestedBlocks_max;Av;NumberOfMathOperations_count;NumberOfMethods_Mood;PMd;blamemerge_priorityMinor_max;MaxNumberOfNestedBlocks_std;blamemerge_priorityMinor_min;Mit;NOPa;MaxNumberOfNestedBlocks_count;NumberOfMathOperations_std;issues_priorityMajor_mean;blame_merge_priorityMinor_max;NumberOfModifiers_50%;NumberOfMathOperations_25%;NM;blame_merge_priorityMinor_min;issues_priorityMajor_max;blamemerge_priorityMajor_min;Md;issues_priorityMajor_min
0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;258.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;258.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
3.0;0.0;1.0;77.0;0.0;1.0;0.4998290890396146;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.68;0.0;4.0;0.0;0.0;0.0;0.0;0.0;3.0;0.9035621198957428;0.0;0.0;1151.0;0.0;0.2953191277664207;1.0;0.0;0.0;3.0;3.0;3.0;0.0;0.0;4.0;3.0;0.4998290890396146;1.0;0.0;0.2953191277664207;False;1.55;0.0;0.0;0.09643788010425716;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1151.0;77.0;3.0;0.0;0.4415584415584416;0.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5584415584415584;0.0;0.0;0.0;4.0;0.0;1.0;0.0;4.0;0.0
0.0;0.0;1.0;77.0;0.0;1.0;0.4998290890396146;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.68;0.0;4.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.9035621198957428;0.0;0.0;1151.0;0.0;0.2953191277664207;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;4.0;0.0;0.4998290890396146;1.0;0.0;0.2953191277664207;False;1.55;0.0;0.0;0.09643788010425716;0.0;0.0;0.0;9.0;0.0;0.75;0.0;0.0;2.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;1151.0;77.0;0.0;0.0;0.4415584415584416;0.7264831572567789;0.0;0.0;9.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;9.0;0.33333333333333337;0.5584415584415584;0.0;0.0;0.0;4.0;0.0;1.0;0.0;4.0;0.0
0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.83;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9443585780525502;0.0;0.0;647.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;4.0;0.0;0.4031128874149275;1.0;0.0;0.2294053046975199;False;1.75;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;647.0;16.0;0.0;2.0;0.0;0.0;0.0;2.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.8125;0.0;1.0;0.0;4.0;0.0;1.0;0.0;4.0;0.0
0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;115.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;115.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;273.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;273.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
2.5;0.0;0.0;9.0;0.0;0.0;0.0;0.8;1.0;6.0;0.0;0.0;0.0;2.0;1.91;0.0;5.0;1.0;0.0;0.0;0.0;0.0;2.75;1.0;0.0;0.0;900.0;1.0;0.0;2.0;0.0;0.0;5.0;2.0;2.25;0.7071067811865476;0.0;6.0;2.5;0.0;1.0;0.0;0.0;False;4.5;0.0;0.0;0.0;0.0;0.0;0.0;5.0;4.0;1.0;1.0;0.0;1028.0;0.0;0.0;0.0;206.4;0.0;0.0;900.0;9.0;3.0;4.0;0.0;459.2883625784568;3.0;0.0;5.0;5.0;5.0;0.0;1.3038404810405295;0.0;0.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;6.0;0.0;1.0;1.0;5.0;1.0
2.0;0.0;1.0;115.0;0.0;2.0;0.5021692075819446;0.4;4.0;3.0;0.0;0.0;0.0;4.0;1.49;0.0;7.0;0.0;0.0;0.0;0.0;0.0;2.0;0.8973897389738974;0.0;0.0;1111.0;1.0;0.3035858224131887;1.29;0.0;0.0;4.0;2.0;2.0;0.0;0.0;8.0;2.0;0.5021692075819446;1.0;0.0;0.3035858224131887;False;2.57;0.0;0.0;0.1026102610261026;0.0;0.0;0.0;5.0;6.0;0.7142857140000001;1.0;0.0;1028.0;0.0;0.0;0.0;207.0;0.0;0.0;1111.0;115.0;2.0;6.0;0.4956521739130435;458.9547908018828;2.0;0.0;5.0;6.0;5.0;1.0;0.8944271909999161;0.0;0.0;0.0;5.0;0.0;0.5043478260869565;0.0;1.0;0.0;8.0;0.0;1.0;0.0;7.0;0.0
0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;603.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;603.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;1.0;1.0;0.0;1.0
2.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.07;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;531.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;4.0;2.0;0.0;1.0;0.0;0.0;False;1.25;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;531.0;9.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;4.0;0.0;1.0;1.0;4.0;1.0
3.0;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.0;1.0;4.0;0.0;0.0;0.0;1.0;2.2;0.0;30.0;0.0;0.0;0.0;0.0;0.0;3.0;0.7109266943291841;0.0;0.0;6507.0;1.0;0.4533668684119794;1.13;0.0;0.0;5.0;3.0;3.0;0.0;0.0;30.0;3.0;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;0.0;0.2890733056708161;0.0;0.0;0.0;1.0;0.0;0.6;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;6507.0;66.0;3.0;0.0;0.8636363636363636;0.0;0.0;0.0;1.0;18.0;18.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.13636363636363635;0.0;1.0;0.0;30.0;0.0;1.0;0.0;30.0;0.0
3.0;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.0;0.75;4.0;0.0;0.0;0.0;4.0;2.2;0.0;30.0;0.0;0.0;0.0;0.0;0.0;3.0;0.7109266943291841;0.0;0.0;6507.0;0.25;0.4533668684119794;1.13;0.0;0.0;5.0;3.0;3.0;0.0;0.0;30.0;3.0;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;0.0;0.2890733056708161;0.0;0.0;0.0;2.0;0.0;0.6;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;6507.0;66.0;3.0;0.0;0.8636363636363636;0.7071067811865476;0.0;0.0;2.0;18.0;18.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.13636363636363635;0.0;0.5;0.0;30.0;0.0;1.0;0.0;30.0;0.0
3.5;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.6;1.0;4.0;0.0;1.0;0.0;2.0;2.2;0.0;30.0;1.0;0.0;0.0;0.0;0.2;3.75;0.7109266943291841;0.0;0.0;6507.0;1.0;0.4533668684119794;1.13;0.0;0.0;5.0;3.0;3.25;0.7071067811865476;0.0;30.0;3.5;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;1.0;0.2890733056708161;0.0;0.0;0.0;5.0;0.0;0.6;0.0;0.0;1.0;0.0;0.0;0.0;0.8;0.0;0.0;6507.0;66.0;4.0;0.0;0.8636363636363636;0.4472135954999579;1.0;0.0;5.0;18.0;18.0;1.0;0.5477225575051662;0.0;0.0;0.0;5.0;0.4472135954999581;0.13636363636363635;0.0;1.0;0.0;30.0;0.0;1.0;0.0;30.0;0.0
3.0;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.0;2.5;4.0;0.0;0.0;0.0;1.0;2.2;0.0;30.0;0.0;0.0;0.0;0.0;0.0;3.0;0.7109266943291841;0.0;0.0;6507.0;1.0;0.4533668684119794;1.13;0.0;0.0;5.0;3.0;3.0;0.0;0.0;30.0;3.0;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;0.0;0.2890733056708161;0.0;0.0;0.0;3.0;0.0;0.6;1.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;6507.0;66.0;3.0;0.0;0.8636363636363636;1.7320508075688772;0.0;0.0;3.0;18.0;18.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.13636363636363635;0.0;1.0;0.0;30.0;0.0;1.0;0.0;30.0;0.0
2.0;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.0;9.0;4.0;0.0;1.0;0.0;6.0;2.2;0.0;30.0;0.0;0.0;0.0;0.0;0.04;2.0;0.7109266943291841;0.0;0.0;6507.0;1.0;0.4533668684119794;1.13;0.0;0.0;5.0;2.0;2.0;0.0;0.0;30.0;2.0;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;0.0;0.2890733056708161;0.0;0.0;0.0;25.0;0.0;0.6;0.0;0.0;9.0;0.0;0.0;0.0;6.68;0.0;0.0;6507.0;66.0;2.0;0.0;0.8636363636363636;3.804821502602543;0.0;0.0;25.0;18.0;18.0;1.0;0.0;0.0;0.0;0.0;25.0;0.20000000000000004;0.13636363636363635;0.0;9.0;0.0;30.0;0.0;1.0;0.0;30.0;0.0
3.0;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.0;1.0;4.0;0.0;0.0;0.0;1.0;2.2;0.0;30.0;0.0;0.0;0.0;0.0;0.0;3.0;0.7109266943291841;0.0;0.0;6507.0;1.0;0.4533668684119794;1.13;0.0;0.0;5.0;3.0;3.0;0.0;0.0;30.0;3.0;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;0.0;0.2890733056708161;0.0;0.0;0.0;1.0;0.0;0.6;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;6507.0;66.0;3.0;0.0;0.8636363636363636;0.0;0.0;0.0;1.0;18.0;18.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.13636363636363635;0.0;1.0;0.0;30.0;0.0;1.0;0.0;30.0;0.0
3.0;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.0;2.5;4.0;0.0;0.0;0.0;1.0;2.2;0.0;30.0;0.0;0.0;0.0;0.0;0.0;3.0;0.7109266943291841;0.0;0.0;6507.0;1.0;0.4533668684119794;1.13;0.0;0.0;5.0;3.0;3.0;0.0;0.0;30.0;3.0;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;0.0;0.2890733056708161;0.0;0.0;0.0;3.0;0.0;0.6;1.0;0.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;6507.0;66.0;3.0;0.0;0.8636363636363636;1.7320508075688772;0.0;0.0;3.0;18.0;18.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.13636363636363635;0.0;1.0;0.0;30.0;0.0;1.0;0.0;30.0;0.0
3.0;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.0;0.75;4.0;0.0;0.0;0.0;1.0;2.2;0.0;30.0;0.0;0.0;0.0;0.0;0.0;3.0;0.7109266943291841;0.0;0.0;6507.0;0.25;0.4533668684119794;1.13;0.0;0.0;5.0;3.0;3.0;0.0;0.0;30.0;3.0;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;0.0;0.2890733056708161;0.0;0.0;0.0;2.0;0.0;0.6;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;6507.0;66.0;3.0;0.0;0.8636363636363636;0.7071067811865476;0.0;0.0;2.0;18.0;18.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.13636363636363635;0.0;0.5;0.0;30.0;0.0;1.0;0.0;30.0;0.0
3.0;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.0;1.0;4.0;0.0;1.0;0.0;2.0;2.2;0.25;30.0;0.0;0.0;0.0;0.0;0.25;3.0;0.7109266943291841;0.0;0.0;6507.0;0.75;0.4533668684119794;1.13;0.0;0.0;5.0;3.0;3.0;0.0;0.0;30.0;3.0;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;0.0;0.2890733056708161;0.0;0.0;0.0;4.0;0.0;0.6;0.0;0.0;1.0;0.0;0.0;0.0;0.75;0.0;0.0;6507.0;66.0;3.0;0.0;0.8636363636363636;0.5;0.0;0.0;4.0;18.0;18.0;1.0;0.0;0.0;0.0;0.0;4.0;0.5;0.13636363636363635;0.0;1.0;0.0;30.0;0.0;1.0;0.0;30.0;0.0
3.0;0.0;1.0;66.0;0.0;12.0;0.3458040190345097;0.0;1.0;4.0;0.0;0.0;0.0;2.0;2.2;0.0;30.0;0.0;0.0;0.0;0.0;0.0;3.0;0.7109266943291841;0.0;0.0;6507.0;1.0;0.4533668684119794;1.13;0.0;0.0;5.0;3.0;3.0;0.0;0.0;30.0;3.0;0.3458040190345097;1.0;0.0;0.4533668684119794;False;1.6;0.0;0.0;0.2890733056708161;0.0;0.0;0.0;1.0;0.0;0.6;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;6507.0;66.0;3.0;0.0;0.8636363636363636;0.0;0.0;0.0;1.0;18.0;18.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.13636363636363635;0.0;1.0;0.0;30.0;0.0;1.0;0.0;30.0;0.0
