PMR;MaxNumberOfNestedBlocks_max;NumberOfModifiers_max;issues_priorityMajor_count;blamemerge_priorityMajor_max;MaxNumberOfNestedBlocks_min;blame_merge_priorityMinor_mean;Average Statements per Method;NumberOfMathOperations_max;NMIR;Maximum Depth_25%;SIX;MaxNumberOfNestedBlocks_count;Mit;NumberOfMathOperations_50%;Maximum Depth_min;issues_priorityMinor_max;NumberOfMethods_Mood;issues_priorityMinor_count;NumberOfMathOperations_count;NF;HMi;NumberOfMathOperations_min;blame_merge_priorityMinor_max;NumberOfMathOperations_std;blamemerge_priorityMajor_min;Maximum Depth_50%;NumberOfModifiers_25%;NumberOfModifiers_75%;Ad;blame_merge_priorityMinor_std;PMd;Ao;issues_priorityMajor_mean;Ait;blamemerge_priorityMinor_mean;blame_merge_priorityMajor_min;Maximum Block Depth;blamemerge_priorityMinor_max;Maximum Depth_max;NumberOfModifiers_std;Maximum Depth_count;MaxNumberOfNestedBlocks_50%;NumberOfModifiers_min;blamemerge_priorityMinor_min;blamemerge_priorityMinor_count;Mi;blame_merge_priorityMinor_min;Maximum Depth_mean;Md;Ai;issues_priorityMajor_max;NMA;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_mean;blame_merge_priorityMajor_count;Average Block Depth;blamemerge_priorityMajor_mean;blamemerge_priorityMajor_count;Maximum Depth_std;Maximum Depth_75%;NumberOfMathOperations_25%;NumberOfModifiers_50%;NumberOfModifiers_mean;Bugged;NumberOfModifiers_count;blame_merge_priorityMajor_max;NumberOfMathOperations_75%;issues_priorityMinor_std;MaxNumberOfNestedBlocks_std;MaxNumberOfNestedBlocks_75%;issues_priorityMajor_std;blamemerge_priorityMinor_std;Mo;issues_priorityMajor_min;blame_merge_priorityMajor_std;blame_merge_priorityMinor_count;blamemerge_priorityMajor_std;MaxNumberOfNestedBlocks_25%;Ma;issues_priorityMinor_mean;NMI;NM;NOPa;Av;Average Complexity*;HMd;Maximum Complexity*;blame_merge_priorityMajor_mean;PMi;issues_priorityMinor_min
0.666666667;0.0;0.0;50.0;1.0;0.0;0.0;12.17;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;50.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;19516.0;0.0;0.0;3.0;3.0;0.0;1.0;3.0;0.0;0.0;0.0;2.97;1.0;19516.0;0.0;3.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;4.67;1.0;21.0;0.0;0.0;0.0
0.0;0.0;0.0;112.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;112.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1384.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1384.0;0.0;0.0;0.0;0.0;0.0;False;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;213.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;213.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5258215962441315;0.0;0.17030744336569578;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2472.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.8296925566343042;2472.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.500509086211688;0.0;0.0;0.500509086211688;0.3759787262159841;0.0;0.0;0.0;0.0;0.3759787262159841;0.0;0.0;0.4741784037558686;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
1.0;1.0;1.0;39.0;1.0;1.0;0.0;5.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;3.0;39.0;3.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2340.0;0.0;0.0;0.0;3.0;0.0;1.0;3.0;1.0;1.0;0.0;1.48;1.0;2340.0;0.0;0.0;1.0;1.0;1.0;False;3.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;3.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0
0.0;0.0;0.0;112.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;112.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2023.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.32;1.0;2023.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.25;0.0;2.0;0.0;0.0;0.0
0.0;0.0;0.0;73.0;1.0;0.0;0.0;2.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5621.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.8;1.0;5621.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;2.0;112.0;1.0;0.0;0.0;7.17;1.0;0.0;2.0;0.0;6.0;0.0;0.0;2.0;0.0;6.0;112.0;6.0;0.0;0.0;0.0;0.0;0.40824829046386296;1.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;3.0;0.5477225575051661;3.0;0.0;1.0;0.0;5391.0;0.0;0.0;2.333333333333333;0.0;0.0;1.0;0.0;0.16666666666666666;0.16666666666666666;0.0;1.34;1.0;5391.0;0.5773502691896258;2.5;0.0;1.5;1.5;False;6.0;0.0;0.0;0.0;0.40824829046386296;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.83;0.0;4.0;0.0;0.0;0.0
0.4;3.0;9.0;204.0;1.0;0.0;0.0;8.88;4.0;0.0;2.0;0.0;16.0;0.0;0.0;2.0;1.0;17.0;204.0;16.0;21.0;0.0;0.0;0.0;1.01447851956888;0.0;2.0;1.0;5.25;21.0;0.0;4.0;0.0;0.9215686274509804;0.0;0.002793418008816725;0.0;5.0;1.0;2.0;3.4970225430595483;2.0;0.5;0.0;0.0;22911.0;0.0;0.0;2.0;10.0;0.0;1.0;10.0;0.75;0.3125;0.0;1.96;0.9972065819911832;22911.0;0.0;2.0;0.0;1.5;3.3125;False;16.0;0.0;0.0;0.2695105766609114;0.9309493362512627;1.0;0.2695105766609114;0.05278007591996875;0.0;0.0;0.0;0.0;0.05278007591996875;0.0;10.0;0.0784313725490196;0.0;10.0;0.0;2.0;1.64;6.0;4.0;0.0;0.0;0.0
0.4;0.0;9.0;204.0;1.0;0.0;0.0;8.88;2.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;17.0;204.0;1.0;21.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;9.0;21.0;0.0;4.0;0.0;0.9215686274509804;0.0;0.002793418008816725;0.0;5.0;1.0;0.0;0.0;0.0;0.0;9.0;0.0;22911.0;0.0;0.0;0.0;10.0;0.0;1.0;10.0;0.0;2.0;0.0;1.96;0.9972065819911832;22911.0;0.0;0.0;2.0;9.0;9.0;False;1.0;0.0;2.0;0.2695105766609114;0.0;0.0;0.2695105766609114;0.05278007591996875;0.0;0.0;0.0;0.0;0.05278007591996875;0.0;10.0;0.0784313725490196;0.0;10.0;0.0;2.0;1.64;6.0;4.0;0.0;0.0;0.0
0.461538462;3.0;9.0;69.0;1.0;0.0;0.0;12.67;20.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;1.0;18.0;69.0;16.0;25.0;0.0;0.0;0.0;5.175261668102719;0.0;0.0;1.0;2.0;25.0;0.0;6.0;0.0;0.7681159420289855;0.0;0.0009654548197314828;0.0;5.0;1.0;0.0;3.151719107619417;0.0;1.0;0.0;0.0;33145.0;0.0;0.0;0.0;13.0;0.0;1.0;13.0;1.25;2.375;0.0;2.24;0.9990345451802684;33145.0;0.0;0.0;0.0;1.5;2.75;False;16.0;0.0;1.25;0.4251272313441584;1.2909944487358056;2.25;0.4251272313441584;0.03105723454684238;0.0;0.0;0.0;0.0;0.03105723454684238;0.0;13.0;0.2318840579710145;0.0;13.0;0.0;0.0;1.71;7.0;5.0;0.0;0.0;0.0
0.461538462;0.0;9.0;69.0;1.0;0.0;0.0;12.67;2.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;18.0;69.0;1.0;25.0;0.0;2.0;0.0;0.0;0.0;0.0;9.0;9.0;25.0;0.0;6.0;0.0;0.7681159420289855;0.0;0.0009654548197314828;0.0;5.0;1.0;0.0;0.0;0.0;0.0;9.0;0.0;33145.0;0.0;0.0;0.0;13.0;0.0;1.0;13.0;0.0;2.0;0.0;2.24;0.9990345451802684;33145.0;0.0;0.0;2.0;9.0;9.0;False;1.0;0.0;2.0;0.4251272313441584;0.0;0.0;0.4251272313441584;0.03105723454684238;0.0;0.0;0.0;0.0;0.03105723454684238;0.0;13.0;0.2318840579710145;0.0;13.0;0.0;0.0;1.71;7.0;5.0;0.0;0.0;0.0
0.0;0.0;0.0;49.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1366.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1366.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;39.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1053.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1053.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;4.0;1.0;119.0;1.0;0.0;0.0;3.71;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;1.0;6.0;119.0;6.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;7.0;0.0;0.3277310924369748;0.0;0.02277904328018224;0.0;6.0;1.0;0.0;0.0;0.0;1.5;1.0;0.0;3512.0;0.0;0.0;0.0;7.0;0.0;1.0;7.0;1.6666666666666667;0.0;0.0;1.98;0.9772209567198178;3512.0;0.0;0.0;0.0;1.0;1.0;False;6.0;0.0;0.0;0.4713709485571972;1.3662601021279464;2.0;0.4713709485571972;0.14921963204152913;0.0;0.0;0.0;0.0;0.14921963204152913;1.0;7.0;0.6722689075630253;0.0;7.0;0.0;1.0;1.71;0.0;4.0;0.0;0.0;0.0
1.0;2.0;9.0;39.0;1.0;2.0;0.0;15.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;39.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;9.0;9.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;2.0;9.0;0.0;2145.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;0.0;1.72;1.0;2145.0;0.0;0.0;0.0;9.0;9.0;False;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0
0.947368421;3.0;2.0;204.0;1.0;0.0;0.0;3.63;5.0;0.0;1.0;0.0;17.0;0.0;0.0;0.0;1.0;18.0;204.0;17.0;9.0;0.0;0.0;0.0;1.4142135623730951;0.0;2.0;1.0;1.0;9.0;0.0;18.0;0.0;0.9215686274509804;0.0;0.003260648053800693;0.0;4.0;1.0;2.0;0.24253562503633305;3.0;0.0;1.0;0.0;9814.0;0.0;0.0;1.3333333333333333;19.0;0.0;1.0;19.0;0.5882352941176471;1.0;0.0;1.65;0.9967393519461992;9814.0;1.1547005383792517;2.0;0.0;1.0;1.0588235294117647;False;17.0;0.0;2.0;0.2695105766609114;0.8702602720890289;1.0;0.2695105766609114;0.057011818275149416;0.0;0.0;0.0;0.0;0.057011818275149416;0.0;19.0;0.0784313725490196;0.0;19.0;0.0;0.0;1.95;1.0;7.0;0.0;0.0;0.0
0.947368421;0.0;1.0;204.0;1.0;0.0;0.0;3.63;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;18.0;204.0;1.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;9.0;0.0;18.0;0.0;0.9215686274509804;0.0;0.003260648053800693;0.0;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;9814.0;0.0;0.0;0.0;19.0;0.0;1.0;19.0;0.0;0.0;0.0;1.65;0.9967393519461992;9814.0;0.0;0.0;0.0;1.0;1.0;False;1.0;0.0;0.0;0.2695105766609114;0.0;0.0;0.2695105766609114;0.057011818275149416;0.0;0.0;0.0;0.0;0.057011818275149416;0.0;19.0;0.0784313725490196;0.0;19.0;0.0;0.0;1.95;1.0;7.0;0.0;0.0;0.0
0.6;3.0;2.0;39.0;1.0;0.0;0.0;11.8;7.0;0.0;3.0;0.0;4.0;0.0;2.5;3.0;0.0;4.0;39.0;4.0;9.0;0.0;0.0;0.0;2.943920288775949;1.0;3.0;1.0;2.0;9.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;3.0;0.5773502691896257;1.0;1.0;1.0;0.0;7020.0;0.0;0.0;3.0;5.0;0.0;1.0;5.0;1.25;3.0;0.0;1.81;1.0;7020.0;0.0;3.0;1.5;1.5;1.5;False;4.0;0.0;4.0;0.0;1.2583057392117916;1.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.75;5.0;0.0;0.0;5.0;0.0;0.0;2.2;2.0;4.0;0.0;0.0;0.0
1.0;2.0;1.0;39.0;1.0;0.0;0.0;4.2;0.0;0.0;2.0;0.0;4.0;0.0;0.0;2.0;0.0;4.0;39.0;4.0;8.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;8.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;4.0;0.0;1.0;0.0;3315.0;0.0;0.0;2.5;5.0;0.0;1.0;5.0;0.5;0.0;0.0;1.4;1.0;3315.0;1.0;2.5;0.0;1.0;1.0;False;4.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;1.2;0.0;2.0;0.0;0.0;0.0
